pair,interval_delta,forward_sigma,above_hi,threshold_above_hi,below_lo,threshold_below_lo
"(1,1)","(0.900, 1.400] [0.500]",1.000,1.400+eps,6 (+1),0.900-eps,4 (-1)
"(1,2)","(1.900, 2.300] [0.400]",2.000,2.300+eps,8 (+1),1.900-eps,6 (-1)
"(2,1)","(1.900, 2.400] [0.500]",2.000,2.400+eps,8 (+1),1.900-eps,6 (-1)
"(2,2)","(2.700, 3.100] [0.400]",3.000,3.100+eps,10 (+1),2.700-eps,8 (-1)
"(3,1)","(-0.100, 0.400] [0.500]",0.000,0.400+eps,4 (+1),-0.100-eps,2 (-1)
"(3,2)","(0.700, 1.100] [0.400]",1.000,1.100+eps,5 (+1),0.700-eps,3 (-1)
